날짜,포트폴리오 이름,캠페인 유형,캠페인 이름,리테일러,국가,상태,통화,예산,타겟팅 유형,입찰 전략,광고 노출 수,작년 광고 노출 수,클릭수,작년 클릭 수,CTR(클릭률),지출,작년 지출,클릭당 비용(CPC),작년 클릭당 비용(CPC),7일 총 주문(건수),"총 판매 광고 비용(ACOS) ",총 광고 수익률(ROAS),"7일 총 판매 "
"Sep 06, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,11279,,99,,0.878%,$87.33,,$0.8821211999999999,$0.0,10,71.406%,1.4,$122.3
"Sep 06, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_Carrot_Brand/General_260901,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1962,,19,,0.968%,$19.85,,$1.0447368,$0.0,3,34.136%,2.93,$58.15
"Sep 07, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,5587,,45,,0.8049999999999999%,$70.0,,$1.5555556000000001,$0.0,12,57.424%,1.74,$121.9
"Sep 07, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_Carrot_Brand/General_260901,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1296,,16,,1.2349999999999999%,$13.0,,$0.8125,$0.0,6,10.668999999999999%,9.37,$121.85
"Sep 07, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,15051,,86,,0.571%,$89.25,,$1.0377907,$0.0,4,172.965%,0.58,$51.6
"Sep 07, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,22197,,83,,0.374%,$72.08,,$0.8684337,$0.0,10,38.3%,2.61,$188.2
"Sep 07, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,5301,,54,,1.019%,$35.7,,$0.6611111,$0.0,7,37.979%,2.63,$94.0
"Sep 08, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_Carrot_Brand/General_260901,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1936,,18,,0.9299999999999999%,$14.98,,$0.8322221999999999,$0.0,8,9.648%,10.37,$155.27
"Sep 08, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,6954,,44,,0.633%,$68.56,,$1.5581818,$0.0,10,60.833999999999996%,1.64,$112.7
"Sep 08, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,11775,,90,,0.764%,$91.7,,$1.0188889,$0.0,10,81.439%,1.23,$112.6
"Sep 08, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,20914,,75,,0.359%,$72.22,,$0.9629333,$0.0,10,37.246%,2.68,$193.9
"Sep 08, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,4429,,44,,0.993%,$21.88,,$0.49727269999999996,$0.0,8,18.96%,5.27,$115.4
"Sep 09, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,4408,,47,,1.0659999999999998%,$21.04,,$0.4476596,$0.0,10,14.102%,7.09,$149.2
"Sep 09, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,5275,,43,,0.815%,$66.28,,$1.5413953,$0.0,11,54.596000000000004%,1.83,$121.4
"Sep 09, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,12116,,74,,0.611%,$79.44,,$1.0735135,$0.0,10,61.580999999999996%,1.62,$129.0
"Sep 09, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,22734,,71,,0.312%,$65.18,,$0.9180282,$0.0,7,49.267%,2.03,$132.3
"Sep 09, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_Carrot_Brand/General_260901,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1801,,20,,1.11%,$14.89,,$0.7445,$0.0,4,21.674%,4.61,$68.7
"Sep 10, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,8419,,43,,0.511%,$62.54,,$1.4544186,$0.0,10,62.478%,1.6,$100.1
"Sep 10, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_Carrot_Brand/General_260901,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1616,,14,,0.8659999999999999%,$10.12,,$0.7228570999999999,$0.0,4,13.386000000000001%,7.47,$75.6
"Sep 10, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,22393,,85,,0.38%,$72.99,,$0.8587059,$0.0,15,26.854%,3.72,$271.8
"Sep 10, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,8744,,95,,1.086%,$92.92,,$0.9781053,$0.0,7,100.129%,1.0,$92.8
"Sep 10, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,5778,,101,,1.748%,$37.29,,$0.3692079,$0.0,13,19.819%,5.05,$188.15
